week,FLvsal,FLlnvsal,FLDlnvsal,FLadv,FLlnadv,FLDlnadv,FLprice,FLlnprice,FLDlnprice,SCvsal,SClnvsal,SCDlnvsal,SCadv,SClnadv,SCDlnadv,SCprice,SClnprice,SCDlnprice,SCCatDemCycle,qrtr1,qrtr2,qrtr3,qrtr4
3.000000,565670.000000,13.245768,0.314684,0.000000,0.000000,0.000000,0.000761,-7.180877,0.017230,1500,7.313220387,-0.223144,53058,10.87916,0.112192,0.020853,-3.870257456,0.026138,0.038656,1,0,0,0
4.000000,463430.000000,13.046413,-0.199355,0.000000,0.000000,0.000000,0.000796,-7.135911,0.044966,3375,8.124150603,0.810930,128998,11.76756,0.888400,0.021867,-3.822776628,0.047481,0.081242,1,0,0,0
5.000000,1265380.000000,14.050884,1.004471,0.000000,0.000000,0.000000,0.000682,-7.290481,-0.154570,1500,7.313220387,-0.810930,64043,11.067326,-0.700234,0.02132,-3.84810968,-0.025333,0.117612,1,0,0,0
6.000000,1643720.000000,14.312473,0.261589,0.000000,0.000000,0.000000,0.000656,-7.329350,-0.038869,2625,7.872836175,0.559616,58058,10.969215,-0.098111,0.023429,-3.753780708,0.094329,0.14283,1,0,0,0
7.000000,2253240.000000,14.627880,0.315407,0.000000,0.000000,0.000000,0.000637,-7.358741,-0.029391,375,5.926926026,-1.945910,64358,11.072232,0.103017,0.025307,-3.676674242,0.077106,0.154153,1,0,0,0
8.000000,1853510.000000,14.432592,-0.195288,9545.000000,9.163877,9.163877,0.000623,-7.380964,-0.022223,2250,7.718685495,1.791759,128999,11.767568,0.695336,0.020449,-3.889821297,-0.213147,0.15158,1,0,0,0
9.000000,1071790.000000,13.884842,-0.547750,6575.000000,8.791182,-0.372695,0.000682,-7.290481,0.090483,2250,7.718685495,0.000000,64044,11.067341,-0.700227,0.022071,-3.813490749,0.076331,0.137802,1,0,0,0
10.000000,747790.000000,13.524879,-0.359963,8927.000000,9.096948,0.305766,0.000721,-7.234871,0.055609,2250,7.718685495,0.000000,57805,10.964848,-0.102493,0.019973,-3.913373917,-0.099883,0.117577,1,0,0,0
11.000000,1039130.000000,13.853895,0.329016,9431.000000,9.151863,0.054915,0.000643,-7.349366,-0.114494,3750,8.229511119,0.510826,64724,11.077903,0.113055,0.019952,-3.91442589,-0.001052,0.096638,1,0,0,0
12.000000,872110.000000,13.678672,-0.175223,11715.000000,9.368711,0.216848,0.000655,-7.330875,0.018491,1500,7.313220387,-0.916291,57293,10.955951,-0.121952,0.020747,-3.875353621,0.039072,0.080386,1,0,0,0
13.000000,1008260.000000,13.823738,0.145066,7361.000000,8.904087,-0.464624,0.000849,-7.071451,0.259424,1875,7.536363938,0.223144,140918,11.855941,0.899990,0.021744,-3.828417422,0.046936,0.072652,1,0,0,0
14.000000,1409760.000000,14.158931,0.335193,75.000000,4.330733,-4.573354,0.000754,-7.190118,-0.118667,750,6.620073207,-0.916291,35891,10.48827,-1.367671,0.023013,-3.771696005,0.056721,0.074809,0,1,0,0
15.000000,1771280.000000,14.387214,0.228283,427937.000000,12.966734,8.636001,0.000744,-7.203470,-0.013351,5619.472362,8.633993053,2.013920,55057,10.916142,0.427872,0.023013,-3.771696005,0.000000,0.08543,0,1,0,0
16.000000,1903530.000000,14.459221,0.072007,308776.000000,12.640375,-0.326359,0.000793,-7.139687,0.063782,5619.472362,8.633993053,0.000000,61816,11.031934,0.115792,0.023013,-3.771696005,0.000000,0.100593,0,1,0,0
